Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_ADC_F1,CL05B104KO5NNNC,C_0402_1005Metric,130.775,-81.925,180,top
C_ADC_F2,CL05B104KO5NNNC,C_0402_1005Metric,130.795,-80.075,0,top
C_ADC_F3,CL05B104KO5NNNC,C_0402_1005Metric,108.675,-89.355,90,top
C_ADC_F4,CL05B104KO5NNNC,C_0402_1005Metric,109.7,-88.005,90,top
C_ESP_D1,CL05B104KO5NNNC,C_0402_1005Metric,109.675,-80.73,90,top
C_ESP_D2,CL21A226MAQNNNE,C_0805_2012Metric,108.125,-81.1,-90,top
C_ESP_D3,CL05A105KP5NNNC,C_0402_1005Metric,106.6,-81.545,-90,top
C_ESP_USB1,0402CG220J500NT,C_0402_1005Metric,116.595,-105.025,0,top
C_ESP_USB2,0402CG220J500NT,C_0402_1005Metric,110.995,-99.375,0,top
C_I_D1,CL05B104KO5NNNC,C_0402_1005Metric,98.792863,-93.388328,-126,top
C_I_D2,TAJA106K016RNJ,C_1206_3216Metric,99.333017,-95.5183,-126,top
C_I_D3,CL05B104KO5NNNC,C_0402_1005Metric,141.275,-93.25,126,top
C_I_D4,TAJA106K016RNJ,C_1206_3216Metric,140.725,-95.35,126,top
C_I_D5,CL05B104KO5NNNC,C_0402_1005Metric,112.995,-121.2,0,top
C_I_D6,TAJA106K016RNJ,C_1206_3216Metric,111.6,-119.5,0,top
C_K_D1,CL05B104KO5NNNC,C_0402_1005Metric,104.995,-115.275,180,top
C_K_D2,T491A685K016AT,C_1206_3216Metric,105,-113.575,0,top
C_K_H1,CL05A105KP5NNNC,C_0402_1005Metric,105.95,-122.995,90,top
C_K_H2,CL05A105KP5NNNC,C_0402_1005Metric,104.875,-122.98,-90,top
C_K_L1,CL05A474KP5NNNC,C_0402_1005Metric,101.375,-115.575,180,top
C_K_L2,CL05A334KA5NNNC,C_0402_1005Metric,100.15,-119.045,-90,top
C_LDO1,CL05A105KP5NNNC,C_0402_1005Metric,120.67,-105.95,0,top
C_LDO2,CL05A105KP5NNNC,C_0402_1005Metric,114.695,-111.95,0,top
C_M_D1,CL05B104KO5NNNC,C_0402_1005Metric,99.55,-106.775,-90,top
